# repo	path	use	commits_in_git	commits_on_the_wafer	lines_in_those_commits	first_key	last_key	first_date	last_date
globalgrid2050	conductor_resistances	engine: class 2 plain copper and aluminium only, cited as his page	19	19	171693	5898326993	5907339686	2026-03-20	2026-03-20
globalgrid2050	ac_cables_knowledge	link out: real sizing is a job, here are the tools	1	1	8281	5634794038	5634802319	2026-03-15	2026-03-15
globalgrid2050	dc_cables_knowledge	link home: DC cable risk, the article and the arc protection repository	5	5	16474	5486868855	5589286269	2026-03-12	2026-03-14
globalgrid2050	33kv_uk_dap_price_estimator	TRACKED ONLY: never in the engine, prices are out of scope	182	182	194640909	5678561057	25125778017	2026-03-16	2026-06-18
globalgrid2050	lv_ac_dc_price_estimator	TRACKED ONLY: never in the engine, prices are out of scope	112	112	194190692	5946059874	25125778017	2026-03-21	2026-06-18
